Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
88,16621831,"Tsung-Yeh, Hsieh","2026-08-08 03:34:26",2846.2,2,"tsungyehhsieh,xinyuloong"
89,16675655,TrebolNoir_,"2026-08-08 00:45:16",2843.8,2,trebolnoir
90,16668630,Keito,"2026-08-08 05:10:39",2843.4,2,keitookamoto
91,16662833,"umair zia","2026-08-07 10:59:35",2842.3,2,aimerscoding
92,16622376,fmind,"2026-08-06 18:35:48",2841.8,2,freaxmind
93,16672997,"Francesco Montone","2026-08-07 11:21:11",2840.0,2,francescomontone
94,16659585,"Anas Riaz","2026-08-06 21:45:51",2839.2,2,anasriaz
95,16623608,"Dmitry Larko","2026-08-07 23:34:43",2839.1,2,dmitrylarko
96,16624919,"Juste Me (●'◡'●)","2026-08-06 21:07:03",2838.8,2,degnonguidi
97,16652750,"Bahadir Selim Bakla ","2026-08-07 20:49:46",2836.1,2,bahadirselimbakla
98,16634174,phibkro,"2026-08-07 03:10:52",2835.4,2,phibkro
99,16663969,"Aarush Kute","2026-08-07 13:59:31",2835.1,2,aarushkute
100,16674881,"Saisree Dhanasekaran","2026-08-07 12:26:42",2834.8,2,saisreedhanasekaran
101,16652900,cjen07,"2026-08-07 23:33:05",2834.6,2,cjen07
102,16666977,"Tagir Analyzes","2026-08-07 17:50:35",2831.9,2,tagirkhairutdinov
103,16632715,cmasch,"2026-08-08 05:58:00",2831.8,2,cmasch
104,16655156,"Pranjal Ranjan","2026-08-06 23:58:43",2829.3,2,pranjalranjan299
105,16676336,lemon13418,"2026-08-08 00:54:07",2827.5,2,lemon13418
106,16670524,"Nat Bel ML Fun","2026-08-07 22:47:09",2824.7,2,natbel4ml
107,16654710,"Ray Brothers","2026-08-08 03:57:11",2824.2,2,"madhurjyaray,vibekodr"
108,16669711,"Anton Shaniuk","2026-08-07 14:17:21",2822.0,2,antonshaniuk
109,16627600,Nat00,"2026-08-07 04:14:58",2821.3,2,natliablascoandreo
110,16675088,"Andrei Chulkov","2026-08-07 16:51:38",2821.0,2,andreichulkov
111,16676321,"tao wu11","2026-08-08 01:22:12",2820.5,2,"taowu11,xujchill"
112,16657861,"Liao Zixu","2026-08-07 02:36:07",2820.4,2,liaozixu
113,16673191,juliye,"2026-08-07 05:54:05",2819.3,2,juliye
114,16642570,"Mathurin Ache","2026-08-07 06:14:32",2816.9,2,mathurinache
115,16679810,"Patrick Joël MAIRLOT-MBEZELE","2026-08-07 10:35:31",2815.7,2,pigenesis75
116,16631536,kglctf,"2026-08-07 03:40:31",2813.2,2,kglctf
117,16660483,TIM,"2026-08-07 23:50:10",2812.3,2,daynoryamil
118,16623381,cocoaAI,"2026-08-07 11:29:38",2811.4,2,cocoaai
119,16668564,"Rikito Kanda","2026-08-07 10:11:04",2811.3,2,rikitokanda
120,16658248,"Aaweg Bhaladhare","2026-08-07 16:05:44",2810.9,2,aawegbhaladhare
121,16660220,tomo11111,"2026-08-07 00:03:50",2810.1,2,tomo11111
122,16655686,Kyle,"2026-08-08 02:03:34",2810.0,2,kylezhouzhou
123,16660371,"José Luis Gómezz","2026-08-08 04:10:14",2807.7,2,josluisgmezz
124,16624979,"Mohamed abdelrazik","2026-08-08 06:44:00",2805.0,2,mohamed3abdelrazik
125,16623309,zyvren,"2026-08-06 23:18:00",2804.4,2,sharif485
126,16621168,FOYSAL,"2026-08-06 23:45:35",2799.2,2,foysalemonshanto
127,16625060,"Subin An","2026-08-08 01:06:35",2799.2,2,subinium
128,16637597,venks,"2026-08-08 01:24:33",2799.1,2,vterli
129,16665935,eternitywinner,"2026-08-07 08:03:12",2797.6,2,eternitywinner
130,16670569,Ezzzzzekki,"2026-08-08 04:18:29",2796.4,2,abdullahelzeki
131,16654881,Freddy,"2026-08-07 17:49:56",2792.7,2,twoxding
132,16668788,ConnieCodes,"2026-08-07 23:10:52",2791.1,2,conniecodes
133,16680075,I_luv_magick,"2026-08-07 09:50:30",2790.0,2,iluvmagick
134,16633226,test_money,"2026-08-07 11:27:16",2789.8,2,michaelsemenoff
135,16626839,"Roman Rozen","2026-08-07 00:09:43",2785.5,2,romanrozen
136,16662949,"Will English","2026-08-07 20:26:15",2784.1,2,dubascudes
137,16661362,BEETRiX🦋,"2026-08-06 17:44:51",2781.3,2,johannaleighdeley
138,16645203,easonyanyan,"2026-08-08 02:11:37",2780.6,2,easonyanyan
139,16675344,Azelearn,"2026-08-07 14:12:24",2779.4,2,androidss
140,16658499,Grifun,"2026-08-07 09:03:39",2778.7,2,msingatullin
141,16664283,"Nguyễn Hữu Công","2026-08-07 05:24:48",2778.7,2,nguynhucng
142,16674919,yukiZ,"2026-08-07 04:47:42",2778.3,2,hideyukizushi
143,16685763,"koren sabag","2026-08-07 22:24:54",2776.0,2,korensabag
144,16659215,"Zhizhou Sha","2026-08-08 07:02:17",2775.7,2,zhizhousha
145,16651695,"Koushik Rudra","2026-08-07 04:03:31",2775.4,2,koushikrudra
146,16662121,"Indar Karhana","2026-08-07 20:00:10",2774.4,2,indarkarhana
147,16682183,lihaha.36,"2026-08-08 06:35:47",2772.5,2,lihaha36
148,16626203,"Manish Kumar Maurya","2026-08-07 05:40:50",2771.3,2,manishkumarmaurya11
149,16625472,"luna is free！","2026-08-07 11:56:09",2766.3,2,simingtan
150,16635747,"Jeki Wan Taufik","2026-08-07 12:24:08",2765.4,2,jek1wantaufik
151,16626093,"Pilkwang Kim","2026-08-07 02:24:50",2762.7,2,pilkwang
152,16637919,NoOneAhead,"2026-08-07 05:12:50",2758.1,2,jerrlu
153,16664242,"Alex Lee","2026-08-08 05:03:58",2756.1,2,aiexanderr
154,16634179,daoviet,"2026-08-08 04:11:55",2755.0,2,daoviet
155,16669856,StrugglerK,"2026-08-08 02:24:05",2752.1,2,muhammedkaanlker
156,16671844,I2nfinit3y,"2026-08-07 02:27:10",2751.7,2,i2nfinit3y
157,16665337,BHackers,"2026-08-08 03:38:21",2751.3,2,clarencepagaduan
158,16651088,ych~sun,"2026-08-07 03:19:42",2750.6,2,ychsun
159,16676275,Scorpi,"2026-08-08 03:28:49",2748.4,2,scorpi
160,16660281,"xiy lin","2026-08-08 06:19:30",2746.6,2,xiylin
161,16653199,Koba,"2026-08-07 09:06:33",2744.5,2,zone0906
162,16662730,Operator-X,"2026-08-07 10:40:19",2744.4,2,"jpexee,lavlinjaisonme23b250"
163,16656118,Mutte1904,"2026-08-07 05:03:56",2742.6,2,mutte1904
164,16684762,X-xuhui,"2026-08-08 02:28:46",2741.5,2,xxuhui
165,16658803,"Rahul Jiwane","2026-08-07 03:27:52",2740.6,2,rahuljiwane
166,16631665,"jatan sanghvi","2026-08-07 06:10:48",2739.8,2,jatansanghvi
167,16680967,Tyooughtul,"2026-08-08 06:28:46",2738.7,2,yooughtul
168,16673131,"Arfin Mustofa","2026-08-08 07:07:39",2734.3,2,arfinmustofa
169,16621590,Yaroslav,"2026-08-06 14:41:18",2730.7,2,yaroslavrogoza
170,16674353,"Lakshmanan R","2026-08-08 07:12:08",2727.9,2,lakshmanankumar02
171,16678618,"Manu Nicholas Jacob","2026-08-08 00:29:38",2727.5,2,manunicholasjacob
172,16623799,"Akhilesh godugu","2026-08-08 02:44:32",2727.3,2,"akhileshgodugu,ashokgodugu"
173,16663783,WBF_USA_NYC,"2026-08-08 03:29:06",2726.8,2,wbfranci
174,16671376,LittleSweet,"2026-08-08 04:51:25",2722.7,2,yukieja
175,16655335,Justus,"2026-08-08 03:28:36",2722.1,2,justus0
176,16623745,chunluran,"2026-08-07 10:58:57",2720.9,2,chunluran
177,16659776,"Ben Hamilton","2026-08-06 23:26:44",2720.2,2,kineticaxisstudio
178,16664120,SaiDuttaAbhishekDash,"2026-08-07 11:26:41",2717.9,2,saiduttaabhishekdash
179,16653890,YUKRUB,"2026-08-08 07:10:52",2716.9,2,yukrub
180,16659467,AlexMoura2023,"2026-08-08 02:44:33",2716.0,2,alexmoura2023
181,16660215,"YoungDSML [dsml.kz]","2026-08-06 16:29:33",2714.7,2,"mazgas,nurikw3"
182,16674479,"Alan Rosston","2026-08-07 08:34:52",2714.1,2,alanrosston
183,16623920,"Kazuta MIZUTA","2026-08-07 03:22:25",2714.1,2,kazutamizuta
184,16663264,Adarsh,"2026-08-07 07:00:10",2711.6,2,madarshbb
185,16656776,ShaoCharles,"2026-08-08 02:26:40",2711.0,2,shaocharles
186,16623459,"Peng Wang","2026-08-07 11:39:36",2708.0,2,pengwang91
187,16670406,"jessica jennifer","2026-08-07 17:47:34",2707.4,2,jessicajennifer
188,16672530,GUGUGAGA,"2026-08-08 01:25:08",2707.0,2,"ruiyangzhang23,taoguo079"
189,16657941,"Nick Styles","2026-08-07 22:37:44",2706.6,2,styles
190,16677399,lyts,"2026-08-07 17:11:16",2703.8,2,lytsyyds
191,16661039,GiovanniCR,"2026-08-08 00:04:46",2703.4,2,giovannicr
192,16682879,"Patrick Chan","2026-08-07 18:49:08",2703.3,2,drpatrickchan
193,16638375,"Tran H Hoang","2026-08-08 01:10:57",2701.2,2,tranhhoang
194,16632612,Farmville,"2026-08-07 16:12:32",2694.7,2,rafaelfigueiredo13
195,16641548,"Devaansh Pathak","2026-08-08 02:51:31",2694.0,2,devaanshpa
196,16682514,"Pavel Pavlov","2026-08-07 06:45:06",2692.0,1,akakii
197,16655704,heinado,"2026-08-07 07:13:57",2690.5,2,heinado
198,16638804,"Anhad Mahajan","2026-08-07 12:23:22",2690.4,2,anhadmahajan06
199,16622349,"Mengfei Li","2026-08-08 05:39:19",2689.4,2,meli19
200,16623368,"Evgeniy Veselkov","2026-08-08 00:30:06",2685.2,2,evgeniyveselkov
201,16669490,hinemos,"2026-08-07 23:51:24",2684.7,2,hinemos
202,16634765,democatXamer,"2026-08-07 22:35:56",2682.7,2,w1326627677
203,16678172,"Eishkaran Singh","2026-08-07 10:04:07",2682.5,2,eishkaran
204,16656316,"Richard Tang","2026-08-08 06:40:47",2679.9,2,richardgtang
205,16660678,"Chaitanya Sonaje","2026-08-07 13:16:58",2679.8,2,chaitanya205
206,16623875,"Pavlo Ivanin","2026-08-07 01:38:09",2672.8,2,pavloivanin
207,16654379,"Sebastian Mateus","2026-08-07 17:29:07",2671.5,2,sebastianmateus
208,16677423,songling,"2026-08-07 04:40:43",2670.3,1,"lvbingrong,oralia"
209,16668700,"Pranshu Ghori","2026-08-06 20:24:22",2666.8,2,pranshughori
210,16673370,JeovaAnderson,"2026-08-07 15:34:17",2666.1,2,jeovaanderson
211,16657598,"Arun Mallikarjuna","2026-08-07 11:42:21",2666.0,2,arunmallikarjuna
212,16677217,Panos,"2026-08-07 07:03:32",2664.5,2,panosc
213,16673179,"Muhammad Faraz Aftab","2026-08-07 08:15:52",2659.5,2,muhammadfarazaftab
214,16672136,chupaletas,"2026-08-07 05:31:28",2658.9,2,urvesh
215,16624309,jjamppongmandu,"2026-08-07 05:57:56",2658.7,2,"beckspeca,hihiimj,jjamppongmandu"
216,16655478,Bruce,"2026-08-07 13:35:39",2658.3,2,bruceqdu
217,16665233,"Akash Deep","2026-08-06 15:20:56",2655.2,2,akashdeepo
218,16663515,HamsterSashka,"2026-08-08 02:51:39",2654.7,2,hamstersashka
219,16684639,Bru3ll,"2026-08-07 22:08:53",2649.4,2,bru3ll
220,16660488,tehyoni,"2026-08-07 11:57:17",2648.8,2,"gooberdambi,sidcat,suaeng,tehyoni"
221,16675305,"Justin Sabu Sebastian","2026-08-07 12:45:39",2647.9,2,justinsabusebastian
222,16682753,"Cam-Luan Truong","2026-08-07 07:11:09",2645.8,1,luantruong
223,16621741,"Andrey Naymushin","2026-08-07 10:38:23",2643.3,2,andrewsokolovsky
224,16639520,"Cary Jin","2026-08-07 13:26:45",2640.7,2,strigiformes
225,16657594,"Wojciech Krasowski","2026-08-07 11:21:03",2639.0,2,ci3l4k
226,16652710,Ryutogrrr,"2026-08-07 02:18:07",2638.6,2,ryutogrrr
227,16676280,agniii,"2026-08-06 17:05:08",2637.1,2,agniii
228,16655559,"Fajri Yanuar Shiddiq Juanda","2026-08-06 23:57:41",2635.2,2,fajriyanuar
229,16682210,Boiled-Sweet-Potato,"2026-08-07 06:09:46",2634.3,2,boiledsweetpotato
230,16651052,lty,"2026-08-07 02:45:54",2633.6,2,linwei9
231,16655179,"I Need an Internship","2026-08-08 06:51:00",2633.2,2,dimasibnumuthi
232,16659771,DieByTheSword,"2026-08-07 10:14:29",2632.3,2,przemysawstroiws
233,16626272,"ömer kiraz","2026-08-07 11:02:53",2631.9,2,merkiraz
234,16669608,"Jesy Lu","2026-08-07 14:45:41",2629.5,2,jesylu
235,16669491,"Parakh Sharma","2026-08-06 10:59:33",2629.0,2,parakh20
236,16676193,"Akira Hirohashi","2026-08-07 14:00:23",2628.4,2,akirahirohashi
237,16684470,"Soumi Ghosh","2026-08-07 14:08:24",2628.0,2,soumighosh911
238,16621315,"Reyhan Ksatria","2026-08-07 06:49:08",2626.8,2,reyhanksatria
239,16654995,"Artem Voronov","2026-08-08 06:31:01",2626.6,2,artemyvoronov
240,16668783,Zyy7390,"2026-08-07 12:53:41",2625.1,2,"tigerrrrrr,zyy7390"
241,16671372,"Meet Sabhaya","2026-08-08 06:02:13",2625.0,2,meetsabhaya
242,16656432,"CornHub Premium","2026-08-08 01:14:21",2624.0,2,nihilisticneuralnet
243,16659820,Accayo14,"2026-08-06 14:20:30",2622.1,2,accayo14
244,16658044,"Roshan Singh","2026-08-06 07:13:38",2621.9,2,roshanavadheshsingh
245,16679688,"Sathwik Chinthakayala","2026-08-07 02:01:44",2618.7,2,sathwikchinthakayala
246,16662051,"Salem Ali","2026-08-07 19:28:40",2617.2,2,salemali7
247,16633688,Ryo,"2026-08-08 07:10:46",2616.1,2,ryosukekurakami
248,16659763,clarkzhang1031,"2026-08-07 08:52:58",2612.7,2,"clarkzhang1031,huafeihuang"
249,16686424,"Thần Thoại","2026-08-07 17:52:10",2610.9,1,thanthoai
250,16658025,"Dennis Gioche","2026-08-06 09:08:34",2606.5,2,dennisgioche
251,16663166,Rey4Dan,"2026-08-07 18:42:00",2605.6,2,rey4dan
252,16654626,bgsszsa,"2026-08-07 12:01:33",2605.0,2,bgsszsa
253,16687479,kowalskii,"2026-08-08 06:33:00",2602.5,2,anirudhkumaraheer
254,16683439,"Kong Zhi Syuen","2026-08-08 07:06:23",2600.9,2,kongzhisyuen
255,16659692,"Hùng Nguyễn Huy (Hiirooo)","2026-08-08 01:29:28",2594.1,2,hngnguynhuy
256,16687068,digiliwigili,"2026-08-07 18:17:45",2593.3,2,kukchyievervin
257,16665214,Epiphany_Thu,"2026-08-06 12:08:13",2592.8,2,epiphanythu
258,16670715,i3,"2026-08-08 07:03:50",2592.4,2,ishijima
259,16654122,"Peter Thompson","2026-08-07 17:33:44",2590.6,2,mightytreefolk
260,16655383,MtN,"2026-08-08 03:01:33",2590.3,2,mariotrsn
261,16653208,FabienDaniel,"2026-08-07 10:17:38",2589.4,2,fabiendaniel
262,16679519,"Петьо Лазаров","2026-08-08 06:22:07",2587.4,2,pesosz
263,16665416,"zeyu lau","2026-08-08 05:47:14",2585.2,2,zeyulau
264,16665561,LuoXingda,"2026-08-07 08:22:42",2579.4,2,luoxingda
265,16669518,Galagala,"2026-08-07 18:35:59",2577.3,2,b12705059
266,16665654,"Anurag H H","2026-08-07 05:09:02",2576.8,2,anur4ghh
267,16665809,"Saravanan Jaichandaran","2026-08-06 18:45:08",2572.6,2,saranchandar
268,16660268,"Sébastien Mametz (Pixs)","2026-08-07 20:48:00",2572.5,2,sbastienmametzpixs
269,16641982,ZotAZaw3,"2026-08-07 10:53:53",2571.1,2,zotazaw3
270,16641169,boatlee,"2026-08-08 07:01:09",2571.1,2,boatlee
271,16644578,Chloe,"2026-08-08 02:30:28",2568.7,2,baytree1238
272,16626979,"Soobin An","2026-08-06 03:34:21",2566.3,2,myotterspace
273,16642579,"Desyat IO","2026-08-06 16:57:32",2565.9,2,desyatio
274,16633341,Hak,"2026-08-06 20:15:56",2563.1,2,hakdevelopment
275,16634952,"Igor Zharov","2026-08-07 14:58:45",2561.0,2,flexonafft
276,16632675,"Baran Kucuk","2026-08-07 00:31:25",2560.5,2,barankucuk
277,16683936,Cyrus,"2026-08-07 09:42:55",2559.8,2,jamalsaeedi
278,16626582,"Omer Faruk Merey","2026-08-06 10:59:47",2554.8,1,omerfarukmerey
279,16635029,"Oleg Melnik","2026-08-06 14:31:54",2551.2,2,olegmelnik
280,16681049,"SiLin “Can SiLin” Can","2026-08-08 02:38:07",2549.1,2,silincansilincan
281,16664751,"Cindy Meng90","2026-08-07 05:04:05",2548.3,2,cindymeng90
282,16683909,"Krzysztof ""Chris"" Karaszewski","2026-08-07 21:41:10",2547.6,2,futureofworkchannel
283,16665129,Doom,"2026-08-07 11:32:38",2547.0,2,"mr6436,sanskaarundale"
284,16643554,"Arnie Jimenez","2026-08-06 14:40:52",2546.1,2,arniejimenez
285,16657646,mountainbob,"2026-08-06 15:03:03",2544.0,2,shongpakmanoon
286,16667843,"durgesh dere","2026-08-07 07:01:38",2542.9,2,durgeshdere08
287,16660333,"Deanos Crew","2026-08-08 00:49:01",2536.9,2,jamescole0101
288,16669038,"Nabeel Shar","2026-08-07 13:27:42",2536.5,2,nabeelshar
289,16639871,"Aura Farming","2026-08-06 11:39:31",2532.6,2,gauthieravite
290,16630825,"Shuhan Yang","2026-08-08 04:12:01",2532.2,2,"asherjyd,qizhiran,yukundu231100"
291,16623798,RuiKimura4,"2026-08-08 04:11:01",2531.7,2,ruikimura4
292,16658245,ziliangCok,"2026-08-06 07:36:04",2530.9,2,ziliangcok
293,16670202,"Elizabeth Park","2026-08-08 02:54:07",2524.7,2,elizabethpark
294,16668227,Yusuraume,"2026-08-06 12:59:27",2521.4,2,sugitatomohiko
295,16663929,"Erman Man","2026-08-06 17:17:06",2516.8,2,ermanman
296,16629165,lingyu07,"2026-08-07 11:26:39",2514.9,2,lingyu07
297,16665500,"Madan kumar","2026-08-08 00:44:59",2514.0,2,winklemad
298,16637546,Forrest,"2026-08-07 12:44:34",2513.6,2,yinxiaogang
299,16626332,"MD. Nazmus Sakib Anik","2026-08-07 16:30:14",2512.2,2,beyondlogic
300,16640785,"syouya tobita","2026-08-06 08:26:04",2512.0,2,syouyatobita
301,16622509,Ali,"2026-08-08 07:07:28",2508.8,2,asalhi
302,16669256,Shivam_2212,"2026-08-08 05:01:22",2508.5,2,shivam2212
303,16659679,Civitasmass,"2026-08-06 10:53:16",2507.2,2,godhand
304,16660091,bcTiann,"2026-08-06 05:55:54",2505.5,2,bctiann
305,16671588,Keisuke,"2026-08-08 01:10:30",2502.0,2,keisukeueda
306,16664379,N_Matsumoto24,"2026-08-07 08:45:35",2499.8,2,nmatsumoto24
307,16655379,Ikeda0516,"2026-08-07 15:47:16",2497.6,2,ikeda0516
308,16668545,Ronty00,"2026-08-06 08:24:07",2497.5,2,ronty00
309,16634078,"yoho kumedayo","2026-08-07 05:54:00",2497.4,2,dorachinyastyle
310,16655519,CurveCowboy,"2026-08-06 09:36:15",2494.5,2,curvecowboy
311,16623805,"Howon Kang","2026-08-08 05:13:14",2493.9,2,howonkang
312,16653939,"Amr Yasser","2026-08-06 17:56:07",2490.7,2,amryasswe
313,16655912,sssskilo,"2026-08-07 09:54:24",2490.2,2,wellkilo
314,16632867,"Rayk Kretzschmar","2026-08-06 21:10:56",2488.8,2,raykkretzschmar
315,16669971,"Luka Philip","2026-08-06 14:49:27",2488.7,2,lukaphilip
316,16664252,"Huy Hoang","2026-08-06 07:37:05",2486.7,2,themeend
317,16672033,"Mohan Prasath P","2026-08-08 05:14:52",2480.5,2,mohanprasath21
318,16682195,celefefwefwe1,"2026-08-08 05:29:23",2480.0,2,celefefwefwe1
319,16622034,"Aryan Yadav","2026-08-06 20:18:10",2479.7,2,simplexcomplex
320,16621063,"Aikyatan Sinha","2026-08-07 16:53:10",2478.5,2,aikyatansinha
321,16625908,trantrikien239,"2026-08-06 04:32:29",2477.4,2,trantrikien239
322,16683865,Shin7jp,"2026-08-07 09:43:46",2475.1,2,shin7jp
323,16677252,カワシギ,"2026-08-08 05:52:56",2473.5,2,kawashigi
324,16630675,"Lucien de Rubempre","2026-08-07 20:21:34",2472.5,2,lucienderubempre
